Year,geoId,County,Population,Median_Age,Unemployment,Income,Crimes
1980,geoId/06001,Alameda County,1105379,nan,nan,nan,nan
1981,geoId/06001,Alameda County,1125950,nan,nan,nan,nan
1982,geoId/06001,Alameda County,1140269,nan,nan,nan,nan
1983,geoId/06001,Alameda County,1160694,nan,nan,nan,nan
1984,geoId/06001,Alameda County,1179132,nan,nan,nan,nan
1985,geoId/06001,Alameda County,1197401,nan,nan,nan,nan
1986,geoId/06001,Alameda County,1215506,nan,nan,nan,nan
1987,geoId/06001,Alameda County,1229319,nan,nan,nan,nan
1988,geoId/06001,Alameda County,1251100,nan,nan,nan,nan
1989,geoId/06001,Alameda County,1271443,nan,nan,nan,nan
1990,geoId/06001,Alameda County,1305802,nan,4,nan,nan
1991,geoId/06001,Alameda County,1315144,nan,5.5,nan,nan
1992,geoId/06001,Alameda County,1328589,nan,6.6,nan,nan
1993,geoId/06001,Alameda County,1334736,nan,6.7,nan,nan
1994,geoId/06001,Alameda County,1336359,nan,6.2,nan,nan
1995,geoId/06001,Alameda County,1340267,nan,5.7,nan,nan
1996,geoId/06001,Alameda County,1351804,nan,5.1,nan,nan
1997,geoId/06001,Alameda County,1372202,nan,4.5,nan,nan
